bairro;indice_custo_cesta_R$
jardim das americas;63.85
abranches;62.38
cachoeira;61.56
mossungue;60.45
merces;60.22
vila izabel;59.63
cajuru;59.36
cabral;59.0
tatuquara;58.83
reboucas;58.8
batel;58.71
bacacheri;58.1
agua verde;57.55
centro;57.53
capao da imbuia;57.37
bigorrilho;57.15
taruma;56.96
pilarzinho;55.63
sitio cercado;55.43
campo de santana;55.24
xaxim;54.66
campo comprido;54.66
boqueirao;53.92
bairro alto;53.76
atuba;53.64
alto boqueirao;53.36
novo mundo;53.33
uberaba;52.99
santa felicidade;52.45
parolin;51.25
cic;50.84
butiatuvinha;50.74
hauer;50.09
boa vista;49.41
portao;48.68
pinheirinho;48.2
fazendinha;44.24
guaira;43.94
capao raso;40.25
Barreirinha;33.94
