rede;ACUCAR_E_ADOCANTE;ARROZ;AVES;BEBIDAS_ALCOOLICAS;BISCOITOS_E_SNACKS;CAFE_E_CHA;CARNE_BOVINA;CREMES_E_MANTEIGA;DOCES_E_SOBREMESAS;EMBUTIDOS;FARINACEOS;FRUTAS;LEGUMES_E_VERDURAS;LEITE;LIMPEZA_CASA;MASSAS;MOLHOS_E_CONDIMENTOS;PAES;QUEIJO;UTILIDADES_DOMESTICAS
AGRICER;8.99;6.99;10.75;3.99;4.59;12.98;32.99;7.45;5.39;8.99;5.99;7.99;4.99;4.99;5.8;4.99;3.89;7.99;9.79;4.99
ANGELONI;6.99;7.45;12.99;3.99;4.99;15.99;39.99;8.19;6.74;9.95;4.99;11.98;6.99;5.64;8.15;5.79;3.29;9.65;7.19;4.98
ARAUCÁRIA;12.99;7.99;9.48;4.24;5.49;12.99;31.98;7.99;5.99;10.69;6.14;9.98;4.99;6.19;5.69;5.98;4.29;12.98;9.99;6.49
ASSAÍ;8.49;8.99;9.9;5.2;3.99;12.98;35.9;7.49;5.89;16.9;5.19;8.99;3.99;5.17;5.99;4.19;3.39;8.59;7.39;3.99
ATACADÃO;13.98;24.9;9.49;4.39;3.99;10.99;34.9;7.99;5.39;12.9;4.9;8.99;4.89;5.39;5.99;3.95;3.69;6.99;7.59;3.99
CARREFOUR;5.19;22.49;13.99;3.99;4.49;13.99;39.27;8.59;6.89;18.9;8.99;10.99;5.98;5.49;6.99;4.19;4.59;7.79;9.19;4.09
CONDOR;10.89;20.98;10.99;3.89;4.39;14.49;33.79;6.99;5.79;8.98;4.89;8.99;4.79;5.39;5.99;5.34;3.99;8.38;8.99;4.39
FESTVAL;5.99;7.98;15.93;4.09;4.99;15.99;49.8;10.98;7.99;10.99;5.99;12.99;7.49;5.98;8.19;4.99;3.99;8.89;7.99;6.39
JACOMAR;11.98;6.99;9.98;4.39;4.48;12.98;34.98;6.98;6.28;8.98;4.99;9.99;4.99;5.58;5.98;4.48;4.48;8.98;8.98;4.98
NACIONAL;8.85;23.98;12.99;3.99;4.79;15.19;41.28;8.79;7.49;10.99;5.09;11.99;6.69;5.99;7.34;3.99;3.44;7.59;9.19;4.39
STALL;9.98;7.99;9.99;3.99;5.29;13.65;36.99;8.15;5.99;9.98;4.99;8.99;4.99;5.59;6.99;5.29;4.29;8.19;9.42;4.89
SUPER BONI;8.84;7.99;10.99;4.27;4.69;13.59;35.98;7.99;6.29;10.19;5.69;9.98;5.69;5.59;5.99;5.89;4.99;8.98;9.49;5.49
SUPER MUFFATO;8.95;18.98;11.99;4.19;4.49;14.59;35.9;7.98;6.52;12.9;5.98;10.98;5.69;5.59;6.19;4.49;4.99;7.99;8.59;5.29
